,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1993,41,CHI,NFL,16,7,9,0,0.438,-0.2,-4.6,4.3,,,,,4.0,,,
1,1994,42,CHI,NFL,16,9,7,0,0.563,-1.9,-3.2,1.3,2.0,1.0,1.0,0.5,4.0,,,
2,1995,43,CHI,NFL,16,9,7,0,0.563,2.3,3.1,-0.8,,,,,3.0,,,
3,1996,44,CHI,NFL,16,7,9,0,0.438,-0.2,-1.4,1.2,,,,,3.0,,,
4,1997,45,CHI,NFL,16,4,12,0,0.25,-8.5,-3.1,-5.3,,,,,5.0,,,
5,1998,46,CHI,NFL,16,4,12,0,0.25,-3.7,-3.4,-0.3,,,,,5.0,,,
6,2000,48,MIA,NFL,16,11,5,0,0.688,7.1,0.0,7.1,2.0,1.0,1.0,0.5,1.0,3.0,1.0,
7,2001,49,MIA,NFL,16,11,5,0,0.688,2.7,-0.3,3.1,1.0,0.0,1.0,0.0,2.0,9.0,3.0,
8,2002,50,MIA,NFL,16,9,7,0,0.563,6.1,1.7,4.4,,,,,3.0,7.0,3.0,
9,2003,51,MIA,NFL,16,10,6,0,0.625,3.4,-0.7,4.1,,,,,2.0,5.0,2.0,
10,2004,52,MIA,NFL,9,1,8,0,0.111,-2.2,-2.7,0.5,,,,,4.0,9.0,2.0,Fired after week 9
11,11 yrs,11 yrs,,,169,82,87,0,0.485,,,,5.0,2.0,3.0,0.4,3.3,33.0,11.0,
12,6 yrs,6 yrs,CHI,,96,40,56,0,0.417,,,,2.0,1.0,1.0,0.5,4.0,,,
13,5 yrs,5 yrs,MIA,,73,42,31,0,0.575,,,,3.0,1.0,2.0,0.333,2.4,33.0,11.0,
